,0,1,2,3,4,5
453,"[200, 100]",0,1,0.5,50,1.0
454,"[200, 100]",0,1,0.8,50,1.0
455,"[200, 100]",0,1,0.9,50,1.0
456,"[10, 200]",0,1,0.5,50,1.0
457,"[10, 200]",0,1,0.8,50,1.0
458,"[10, 200]",0,1,0.9,50,1.0
459,"[10, 100]",0,1,0.5,50,1.0
460,"[10, 100]",0,1,0.8,50,1.0
461,"[10, 100]",0,1,0.9,50,1.0
462,"[200, 50]",0,1,0.5,50,1.0
463,"[200, 50]",0,1,0.8,50,1.0
464,"[200, 50]",0,1,0.9,50,1.0
465,"[100, 50]",0,1,0.5,50,1.0
466,"[100, 50]",0,1,0.8,50,1.0
467,"[100, 50]",0,1,0.9,50,0.9333333333333333
468,"[10, 100, 50]",0,1,0.5,50,1.0
469,"[10, 100, 50]",0,1,0.8,50,1.0
470,"[10, 100, 50]",0,1,0.9,50,1.0
471,"[200, 10, 100]",0,1,0.5,50,1.0
472,"[200, 10, 100]",0,1,0.8,50,1.0
473,"[200, 10, 100]",0,1,0.9,50,1.0
474,"[50, 10, 100]",0,1,0.5,50,1.0
475,"[50, 10, 100]",0,1,0.8,50,1.0
476,"[50, 10, 100]",0,1,0.9,50,1.0
477,"[10, 200, 100]",0,1,0.5,50,1.0
478,"[10, 200, 100]",0,1,0.8,50,1.0
479,"[10, 200, 100]",0,1,0.9,50,1.0
480,"[100, 10, 200]",0,1,0.5,50,1.0
481,"[100, 10, 200]",0,1,0.8,50,1.0
482,"[100, 10, 200]",0,1,0.9,50,1.0
483,"[100, 200, 50]",0,1,0.5,50,1.0
484,"[100, 200, 50]",0,1,0.8,50,1.0
485,"[100, 200, 50]",0,1,0.9,50,1.0
486,"[100, 50, 10]",0,1,0.5,50,1.0
487,"[100, 50, 10]",0,1,0.8,50,1.0
488,"[100, 50, 10]",0,1,0.9,50,1.0
489,"[200, 50, 10]",0,1,0.5,50,1.0
490,"[200, 50, 10]",0,1,0.8,50,1.0
491,"[200, 50, 10]",0,1,0.9,50,1.0
492,"[50, 10, 200]",0,1,0.5,50,0.9411764705882353
493,"[50, 10, 200]",0,1,0.8,50,1.0
494,"[50, 10, 200]",0,1,0.9,50,1.0
495,"[50, 200, 10]",0,1,0.5,50,1.0
496,"[50, 200, 10]",0,1,0.8,50,1.0
497,"[50, 200, 10]",0,1,0.9,50,1.0
498,"[100, 200, 10]",0,1,0.5,50,1.0
499,"[100, 200, 10]",0,1,0.8,50,1.0
500,"[100, 200, 10]",0,1,0.9,50,0.9333333333333333
501,"[10, 50, 100]",0,1,0.5,50,1.0
502,"[10, 50, 100]",0,1,0.8,50,1.0
503,"[10, 50, 100]",0,1,0.9,50,1.0
504,"[100, 10, 50]",0,1,0.5,50,1.0
505,"[100, 10, 50]",0,1,0.8,50,1.0
506,"[100, 10, 50]",0,1,0.9,50,1.0
507,"[200, 10, 50]",0,1,0.5,50,0.9411764705882353
508,"[200, 10, 50]",0,1,0.8,50,0.9333333333333333
509,"[200, 10, 50]",0,1,0.9,50,0.9333333333333333
510,"[200, 100, 50]",0,1,0.5,50,0.9411764705882353
511,"[200, 100, 50]",0,1,0.8,50,0.9333333333333333
512,"[200, 100, 50]",0,1,0.9,50,0.9333333333333333
513,"[50, 100, 200]",0,1,0.5,50,1.0
514,"[50, 100, 200]",0,1,0.8,50,1.0
515,"[50, 100, 200]",0,1,0.9,50,0.9333333333333333
516,"[10, 200, 50]",0,1,0.5,50,1.0
517,"[10, 200, 50]",0,1,0.8,50,1.0
518,"[10, 200, 50]",0,1,0.9,50,1.0
519,"[200, 100, 10]",0,1,0.5,50,0.9333333333333333
520,"[200, 100, 10]",0,1,0.8,50,0.9333333333333333
521,"[200, 100, 10]",0,1,0.9,50,0.9333333333333333
522,"[10, 50, 200]",0,1,0.5,50,1.0
523,"[10, 50, 200]",0,1,0.8,50,1.0
524,"[10, 50, 200]",0,1,0.9,50,1.0
525,"[50, 100, 10]",0,1,0.5,50,0.9411764705882353
526,"[50, 100, 10]",0,1,0.8,50,1.0
527,"[50, 100, 10]",0,1,0.9,50,1.0
528,"[200, 50, 100]",0,1,0.5,50,1.0
529,"[200, 50, 100]",0,1,0.8,50,1.0
530,"[200, 50, 100]",0,1,0.9,50,1.0
531,"[50, 200, 100]",0,1,0.5,50,1.0
532,"[50, 200, 100]",0,1,0.8,50,1.0
